name,marginal,worst,violations,K,stretch
B3 Naive Pooled,0.09921740332748664,0.1411667939944145,4,8,1.439079018520085
B2 Per-site Local,0.04834691634394014,0.10116353489103772,1,8,46.81924754366789
Shrinkage n0=5,0.04834691634394014,0.10116353489103772,1,8,46.81924754366789
Shrinkage n0=10,0.057678325186050476,0.07824661476271492,0,8,2.205073260784026
Shrinkage n0=15,0.057678325186050476,0.07824661476271492,0,8,2.205073260784026
Shrinkage n0=20,0.057678325186050476,0.07824661476271492,0,8,2.205073260784026
Shrinkage n0=30,0.057678325186050476,0.07824661476271492,0,8,2.205073260784026
Shrinkage n0=50,0.06544200113280811,0.0784074455499649,0,8,2.145272733911749
Shrinkage n0=75,0.06544200113280811,0.0784074455499649,0,8,2.145272733911749
Shrinkage n0=100,0.07678597405123612,0.1411667939944145,1,8,1.9422494579304022
Shrinkage n0=200,0.08350956979602453,0.1411667939944145,2,8,1.802206928724921
Weighted Shared,0.04645526654435774,0.07224448521931966,0,8,2.3950161788167765
James-Stein,0.055002603511260864,0.07824661476271492,0,8,20.544976171705336
