method,mean_violations,std_violations,mean_worst_fnr,std_worst_fnr,mean_marginal,mean_stretch,std_stretch
Shrinkage n0=9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,0.08470205780937423,28.751657581362263,7.728397331620613
Shrinkage n0=8,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.08423423787065898,30.286249307428978,5.592352231559329
Shrinkage n0=7,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.0840089675803855,37.931286251298516,9.557999279026426
Shrinkage n0=6,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.08303150559721889,50.982627433359845,9.35631536436099
Shrinkage n0=5,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,0.08222348191345978,63.50259309378841,4.6358770597672985
Shrinkage n0=4,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,0.08185978150694008,69.8097455785054,5.844818359434068
Adaptive-sqrt c=10,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08090415553105852,71.70987215749636,7.2109376045649425
Adaptive c=3.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08082668609881642,71.96194712206062,5.414618603697461
Shrinkage n0=3,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08068043368994567,75.26283374756987,3.5086648607261073
Shrinkage n0=2,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08050027432610012,79.2171512450289,7.073253538518902
Shrinkage n0=1,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=0.5,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=1.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=2.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive-sqrt c=5,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
B2 Per-site Local,1.3333333333333333,1.247219128924647,0.11099268478738207,0.010104825046333773,0.07990903036490254,83.22971309765909,3.478314479402874
Adaptive-sqrt c=20,1.6666666666666667,1.699673171197595,0.10857714848605647,0.007675257926846204,0.08499849209685861,19.613271325191516,8.135418593099518
Adaptive c=5.0,1.6666666666666667,1.699673171197595,0.10942191669463715,0.008447662885970124,0.08284768865590204,37.193452237017766,6.887741855198922
